Timestamp;TEMPERATURE[degC];HUMIDITY[%];WIND_SPEED[m1s];WIND_DIR[deg];GHI[kW1m2];POA Irr[kW1m2];P_Gaia[kW];P_Solar[kW];Pressure[mbar];Azimuth[deg];Elevation[deg]
43353,875;14,335;0,8;2,620972222;199,0747222;0;0;0;0;1000;0;0
43353,91667;13,80786111;0,8;2,297805556;188,7569444;0;0;0;0;1000;0;0
43353,95833;14,109;0,8;2,355944444;189,5213889;0;0;0;0;1000;0;0
43354;14,20613889;0,8;2,505138889;181,995;0;0;0;0;2000;0;0
43438;6,763027778;0,806805556;5,990111111;238,77;0;0;0;0;2000;0;0
43438,04167;6,681472222;0,884944444;6,969972222;261,0916667;0;0;0;0;1000;0;0
43438,08333;6,522777778;0,8;8,482444444;274,2530556;0;0;0;0;1000;0;0
43438,125;6,100944444;0,8;7,245694444;270,9408333;0;0;0;0;1000;0;0
43438,16667;5,632111111;0,8;7,119777778;262,9330556;0;0;0;0;1000;0;0
43438,20833;5,187;0,8;6,734472222;261,53;0;0;0;0;1000;0;0
43438,25;5,065111111;0,8;6,664611111;263,4838889;0;8,13889E-05;0;0;1000;0;0
43438,29167;4,983305556;0,8;7,705416667;264,1275;0,007588611;0,020906389;0;0,166729754;1000;0;0
43438,33333;5,290333333;0,797305556;8,951444444;269,23;0,057110278;0,249766389;0;1,954963959;1000;0;0
43438,375;5,585944444;0,723638889;9,985305556;273,9730556;0,109471111;0,432738611;0;3,341848966;1000;0;0
43438,41667;5,812861111;0,678611111;11,04880556;276,7313889;0,136330833;0,516844444;0;3,972162669;1000;0;0
43438,45833;5,852944444;0,6;11,96286111;278,9255556;0,136935;0,544287778;0;4,182787391;1000;0;0
43438,5;5,672166667;0,616694444;10,65788889;281,3988889;0,073394444;0,278203056;0;2,173756876;1000;0;0
43438,54167;5,590638889;0,615916667;10,67741667;283,5808333;0,045108889;0,335935556;0;2,615314832;1000;0;0
43438,58333;5,186611111;0,688277778;11,18994444;283,5241667;0,006704444;0,040388333;0;0,321508537;1000;0;0
